id,center_x,center_y,time,x,y,w,h
64,329,421,111,306.0,407.0,46.0,29.0
55,675,623,111,662.0,607.0,27.0,32.0
21,1017,657,111,1005.0,637.0,24.0,41.0
43,392,853,111,382.0,833.0,21.0,41.0
113,909,863,111,886.0,853.0,46.0,20.0
29,1080,1026,111,1050.0,1015.0,61.0,23.0
84,712,858,111,693.0,847.0,39.0,22.0
21,1013,657,112,997.0,635.0,32.0,44.0
113,908,861,112,886.0,850.0,45.0,23.0
55,676,623,112,663.0,607.0,26.0,32.0
64,329,422,112,306.0,407.0,46.0,30.0
29,1078,1026,112,1048.0,1016.0,61.0,20.0
43,392,853,112,382.0,833.0,21.0,41.0
84,713,857,112,694.0,846.0,38.0,23.0
59,343,664,112,326.0,647.0,35.0,34.0
